ProductKey,"Product Name",Brand,Category,Subcategory,Total_Units_Sold,Total_Revenue_USD
444,"WWI Desktop PC2.33 X2330 Black","Wide World Importers",Computers,Desktops,550,505450
416,"Adventure Works Desktop PC2.33 XD233 Silver","Adventure Works",Computers,Desktops,481,466089
428,"Adventure Works Desktop PC2.33 XD233 Brown","Adventure Works",Computers,Desktops,479,464151
422,"Adventure Works Desktop PC2.33 XD233 Black","Adventure Works",Computers,Desktops,462,447678
433,"Adventure Works Desktop PC2.33 XD233 White","Adventure Works",Computers,Desktops,451,437019
455,"WWI Desktop PC2.33 X2330 White","Wide World Importers",Computers,Desktops,462,424578
450,"WWI Desktop PC2.33 X2330 Brown","Wide World Importers",Computers,Desktops,460,422740
147,"Adventure Works 52" LCD HDTV X590 White","Adventure Works","TV and Video",Televisions,136,394398.63999999996
146,"Adventure Works 52" LCD HDTV X590 Black","Adventure Works","TV and Video",Televisions,129,374098.7099999999
438,"WWI Desktop PC2.33 X2330 Silver","Wide World Importers",Computers,Desktops,392,360248
145,"Adventure Works 52" LCD HDTV X590 Silver","Adventure Works","TV and Video",Televisions,122,353798.78
434,"Adventure Works Desktop PC2.30 MD230 White","Adventure Works",Computers,Desktops,521,312079
148,"Adventure Works 52" LCD HDTV X590 Brown","Adventure Works","TV and Video",Televisions,107,310298.93
423,"Adventure Works Desktop PC2.30 MD230 Black","Adventure Works",Computers,Desktops,514,307886
417,"Adventure Works Desktop PC2.30 MD230 Silver","Adventure Works",Computers,Desktops,480,287520
439,"WWI Desktop PC2.30 M2300 Brown","Wide World Importers",Computers,Desktops,458,256022
451,"WWI Desktop PC2.30 M2300 Silver","Wide World Importers",Computers,Desktops,456,254904
456,"WWI Desktop PC2.30 M2300 White","Wide World Importers",Computers,Desktops,448,250432
429,"Adventure Works Desktop PC2.30 MD230 Brown","Adventure Works",Computers,Desktops,405,242959.4999999999
420,"Adventure Works Desktop PC1.80 ED182 Silver","Adventure Works",Computers,Desktops,477,238452.2999999999
2100,"Contoso Water Heater 7.2GPM X1800 Silver",Contoso,"Home Appliances","Water Heaters",157,231575
427,"Adventure Works Desktop PC3.0 MS300 Black","Adventure Works",Computers,Desktops,476,223244
432,"Adventure Works Desktop PC1.80 ED182 Brown","Adventure Works",Computers,Desktops,439,219456.1
421,"Adventure Works Desktop PC3.0 MS300 Silver","Adventure Works",Computers,Desktops,464,217616
2095,"Contoso Water Heater 7.2GPM X1800 Green",Contoso,"Home Appliances","Water Heaters",147,216825
445,"WWI Desktop PC2.30 M2300 Black","Wide World Importers",Computers,Desktops,386,215774
2085,"Contoso Water Heater 7.2GPM X1800 White",Contoso,"Home Appliances","Water Heaters",141,207975
2105,"Contoso Water Heater 7.2GPM X1800 Grey",Contoso,"Home Appliances","Water Heaters",138,203550
437,"Adventure Works Desktop PC1.80 ED182 White","Adventure Works",Computers,Desktops,400,199959.9999999998
2110,"Contoso Water Heater 7.2GPM X1800 Red",Contoso,"Home Appliances","Water Heaters",135,199125
164,"Adventure Works 52" LCD HDTV X790W Brown","Adventure Works","TV and Video",Televisions,125,199025
426,"Adventure Works Desktop PC1.80 ED182 Black","Adventure Works",Computers,Desktops,392,195960.7999999999
425,"Adventure Works Desktop PC1.80 ED180 Black","Adventure Works",Computers,Desktops,520,191880
540,"Proseware Projector 1080p DLP86 Black",Proseware,Computers,"Projectors & Screens",76,189924
163,"Adventure Works 52" LCD HDTV X790W White","Adventure Works","TV and Video",Televisions,119,189471.80000000002
419,"Adventure Works Desktop PC1.80 ED180 Silver","Adventure Works",Computers,Desktops,493,181917
2106,"Contoso Water Heater 4.3GPM M1250 Grey",Contoso,"Home Appliances","Water Heaters",207,181642.5
436,"Adventure Works Desktop PC1.80 ED180 White","Adventure Works",Computers,Desktops,490,180810
2086,"Contoso Water Heater 4.3GPM M1250 White",Contoso,"Home Appliances","Water Heaters",194,170235
159,"Adventure Works 37" 1080p LCD HDTV M150W White","Adventure Works","TV and Video",Televisions,152,167198.48000000007
2096,"Contoso Water Heater 4.3GPM M1250 Green",Contoso,"Home Appliances","Water Heaters",186,163215
539,"Proseware Projector 1080p LCD86 Black",Proseware,Computers,"Projectors & Screens",71,162945
161,"Adventure Works 52" LCD HDTV X790W Silver","Adventure Works","TV and Video",Televisions,102,162404.39999999997
2090,"Contoso Water Heater 7.2GPM X1800 Blue",Contoso,"Home Appliances","Water Heaters",110,162250
157,"Adventure Works 37" 1080p LCD HDTV M150W Silver","Adventure Works","TV and Video",Televisions,147,161698.53000000003
449,"WWI Desktop PC3.0 M0300 Black","Wide World Importers",Computers,Desktops,453,158097
2102,"Contoso Water Heater 4.0GPM M1250 Silver",Contoso,"Home Appliances","Water Heaters",190,150290
623,"WWI Projector 1080p DLP86 White","Wide World Importers",Computers,"Projectors & Screens",59,147441
1897,"Fabrikam Refrigerator 24.7CuFt X9800 White",Fabrikam,"Home Appliances",Refrigerators,46,147199.54
1927,"Fabrikam Refrigerator 24.7CuFt X9800 Grey",Fabrikam,"Home Appliances",Refrigerators,46,147199.54
443,"WWI Desktop PC3.0 M0300 Silver","Wide World Importers",Computers,Desktops,421,146929
551,"Proseware Projector 1080p LCD86 White",Proseware,Computers,"Projectors & Screens",64,146880
612,"WWI Projector 1080p DLP86 Black","Wide World Importers",Computers,"Projectors & Screens",57,142443
576,"Contoso Projector 1080p X981 Black",Contoso,Computers,"Projectors & Screens",57,142443
424,"Adventure Works Desktop PC1.60 ED160 Black","Adventure Works",Computers,Desktops,521,140643.94999999987
600,"Contoso Projector 1080p X981 Silver",Contoso,Computers,"Projectors & Screens",56,139944
460,"WWI Desktop PC1.80 E1802 White","Wide World Importers",Computers,Desktops,464,139153.6
431,"Adventure Works Desktop PC1.80 ED180 Brown","Adventure Works",Computers,Desktops,376,138744
599,"Contoso Projector 1080p X980 Silver",Contoso,Computers,"Projectors & Screens",60,137700
587,"Contoso Projector 1080p X980 White",Contoso,Computers,"Projectors & Screens",60,137700
435,"Adventure Works Desktop PC1.60 ED160 White","Adventure Works",Computers,Desktops,505,136324.7499999999
448,"WWI Desktop PC1.80 E1801 Black","Wide World Importers",Computers,Desktops,505,136299.4999999999
611,"WWI Projector 1080p LCD86 Black","Wide World Importers",Computers,"Projectors & Screens",59,135405
634,"WWI Projector 1080p DLP86 Silver","Wide World Importers",Computers,"Projectors & Screens",54,134946
633,"WWI Projector 1080p LCD86 Silver","Wide World Importers",Computers,"Projectors & Screens",58,133110
2087,"Contoso Water Heater 4.0GPM M1250 White",Contoso,"Home Appliances","Water Heaters",168,132888
1206,"Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey",Fabrikam,"Cameras and camcorders",Camcorders,85,132600
2091,"Contoso Water Heater 4.3GPM M1250 Blue",Contoso,"Home Appliances","Water Heaters",149,130747.5
158,"Adventure Works 37" 1080p LCD HDTV M150W Black","Adventure Works","TV and Video",Televisions,118,129798.82000000002
622,"WWI Projector 1080p LCD86 White","Wide World Importers",Computers,"Projectors & Screens",56,128520
162,"Adventure Works 52" LCD HDTV X790W Black","Adventure Works","TV and Video",Televisions,79,125783.8
152,"Adventure Works 40" LCD HDTV M690 Brown","Adventure Works","TV and Video",Televisions,106,125606.82000000007
